url	reported_in	literal_variants	verification_status
https://math.unm.edu/~wester/cas/book/contents.html	Claude report.md	https://math.unm.edu/~wester/cas/book/contents.html	Input-report link; not independently endorsed by inclusion
https://mathoverflow.net/questions/319874	Grok report.md	https://mathoverflow.net/questions/319874	Input-report link; not independently endorsed by inclusion
https://mathoverflow.net/questions/319874/relevance-of-landaus-algorithm-for-denesting-radicals	Gemini report/Gemini report.md	https://mathoverflow.net/questions/319874/relevance-of-landaus-algorithm-for-denesting-radicals	Input-report link; not independently endorsed by inclusion
https://mathworld.wolfram.com/NestedRadical.html	Claude report.md | Grok report.md	https://mathworld.wolfram.com/NestedRadical.html	Input-report link; not independently endorsed by inclusion
https://maxima-discuss.narkive.com/rz7bUs4t/denesting	Gemini report/Gemini report.md	https://maxima-discuss.narkive.com/rz7bUs4t/denesting	Input-report link; not independently endorsed by inclusion
https://maxima.sourceforge.io/docs/manual/de/maxima_305.html	Claude report.md	https://maxima.sourceforge.io/docs/manual/de/maxima_305.html	Input-report link; not independently endorsed by inclusion
https://medium.com/@ArchieGSmith/calculus-of-infinite-nested-radicals-1ab3e1d26774	Gemini report/Gemini report.md	https://medium.com/@ArchieGSmith/calculus-of-infinite-nested-radicals-1ab3e1d26774	Input-report link; not independently endorsed by inclusion
https://mo.zju.edu.cn/repo/OZ2fxZukDanIbwK8WP7Ht_iyYx-iFiohusxaM3QPIs2m/blob/a8e02444aaf0d71155a42be0422841306d4d7d8a/miniconda3/envs/poem/lib/python3.10/site-packages/sympy/simplify/sqrtdenest.py	Gemini report/Gemini report.md	https://mo.zju.edu.cn/repo/OZ2fxZukDanIbwK8WP7Ht\_iyYx-iFiohusxaM3QPIs2m/blob/a8e02444aaf0d71155a42be0422841306d4d7d8a/miniconda3/envs/poem/lib/python3.10/site-packages/sympy/simplify/sqrtdenest.py | https://mo.zju.edu.cn/repo/OZ2fxZukDanIbwK8WP7Ht_iyYx-iFiohusxaM3QPIs2m/blob/a8e02444aaf0d71155a42be0422841306d4d7d8a/miniconda3/envs/poem/lib/python3.10/site-packages/sympy/simplify/sqrtdenest.py	Input-report link; not independently endorsed by inclusion
https://oeis.org/A135611/internal	Gemini report/Gemini report.md	https://oeis.org/A135611/internal	Input-report link; not independently endorsed by inclusion
https://openports.pl/path/math/py-sympy	Gemini report/Gemini report.md	https://openports.pl/path/math/py-sympy	Input-report link; not independently endorsed by inclusion
https://ora.ox.ac.uk/objects/uuid:9d9bbfe8-d1a3-4397-91b1-57781e16c957	Claude report.md	https://ora.ox.ac.uk/objects/uuid:9d9bbfe8-d1a3-4397-91b1-57781e16c957	Input-report link; not independently endorsed by inclusion
https://pari.math.u-bordeaux.fr/dochtml/html/General_number_fields.html	ChatGPT report/ChatGPT report.md	https://pari.math.u-bordeaux.fr/dochtml/html/General_number_fields.html	Input-report link; not independently endorsed by inclusion
https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf	Claude report.md	https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf	Input-report link; not independently endorsed by inclusion
https://privacyink.org/pdf/Sqrt2+Sqrt3.pdf	Gemini report/Gemini report.md	https://privacyink.org/pdf/Sqrt2+Sqrt3.pdf	Input-report link; not independently endorsed by inclusion
https://reference.wolfram.com/language/ref/RootReduce.html	ChatGPT report/ChatGPT report.md | Claude report.md	https://reference.wolfram.com/language/ref/RootReduce.html	Input-report link; not independently endorsed by inclusion
https://reference.wolfram.com/language/ref/ToRadicals.html	ChatGPT report/ChatGPT report.md | Claude report.md	https://reference.wolfram.com/language/ref/ToRadicals.html	Input-report link; not independently endorsed by inclusion
https://repository.ubn.ru.nl/bitstream/handle/2066/18722/18722.pdf	Claude report.md | Grok report.md	https://repository.ubn.ru.nl/bitstream/handle/2066/18722/18722.pdf	Input-report link; not independently endorsed by inclusion
https://researcher.watson.ibm.com/researcher/files/us-fagin/symb85.pdf	Claude report.md	https://researcher.watson.ibm.com/researcher/files/us-fagin/symb85.pdf	Input-report link; not independently endorsed by inclusion
https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest	Grok report.md	https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest	Input-report link; not independently endorsed by inclusion
https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest/	Claude report.md	https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest/	Input-report link; not independently endorsed by inclusion
https://sites.google.com/view/albertocavallomath/misc	Claude report.md	https://sites.google.com/view/albertocavallomath/misc	Input-report link; not independently endorsed by inclusion
https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/o6lan6$h4r$1@blaine.gmane.org/	Gemini report/Gemini report.md	https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/o6lan6$h4r$1@blaine.gmane.org/	Input-report link; not independently endorsed by inclusion
https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/slrno8nek9.2pg.robert.dodier@freekbox.fglan/	Claude report.md	https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/slrno8nek9.2pg.robert.dodier@freekbox.fglan/	Input-report link; not independently endorsed by inclusion
https://www.cantorsparadise.com/ramanujans-nested-radical-problem-f14c3060e495	Gemini report/Gemini report.md	https://www.cantorsparadise.com/ramanujans-nested-radical-problem-f14c3060e495	Input-report link; not independently endorsed by inclusion
https://www.cimat.mx/~gil/docencia/2019/algebra_moderna(posgrado)/%5BLandau%5DHow-to-Tangle-with-a-Nested-Radical(1994).pdf	Grok report.md	https://www.cimat.mx/~gil/docencia/2019/algebra_moderna(posgrado)/%5BLandau%5DHow-to-Tangle-with-a-Nested-Radical(1994).pdf	Input-report link; not independently endorsed by inclusion
https://www.isibang.ac.in/~sury/ramanujanday.pdf	Claude report.md | Grok report.md	https://www.isibang.ac.in/~sury/ramanujanday.pdf	Input-report link; not independently endorsed by inclusion
https://www.maplesoft.com/support/help/Maple/view.aspx?path=radnormal	Claude report.md	https://www.maplesoft.com/support/help/Maple/view.aspx?path=radnormal	Input-report link; not independently endorsed by inclusion
https://www.maplesoft.com/support/help/Maple/view.aspx?path=simplify%2Fradical	ChatGPT report/ChatGPT report.md	https://www.maplesoft.com/support/help/Maple/view.aspx?path=simplify%2Fradical	Input-report link; not independently endorsed by inclusion
https://www.maplesoft.com/support/help/maple/view.aspx?path=convert%2Fradical	ChatGPT report/ChatGPT report.md	https://www.maplesoft.com/support/help/maple/view.aspx?path=convert%2Fradical	Input-report link; not independently endorsed by inclusion
https://www.math.ru.nl/~bosma/students/honsbeek/M_Honsbeek_thesis.pdf	Grok report.md	https://www.math.ru.nl/~bosma/students/honsbeek/M_Honsbeek_thesis.pdf	Input-report link; not independently endorsed by inclusion
https://www.researchgate.net/publication/2629046	Claude report.md	https://www.researchgate.net/publication/2629046	Input-report link; not independently endorsed by inclusion
https://www.researchgate.net/publication/2629046_Simplification_of_Nested_Radicals	Gemini report/Gemini report.md	https://www.researchgate.net/publication/2629046\_Simplification\_of\_Nested\_Radicals | https://www.researchgate.net/publication/2629046_Simplification_of_Nested_Radicals	Input-report link; not independently endorsed by inclusion
https://www.researchgate.net/publication/284579347_Variations_on_Ramanujan's_nested_radicals	Gemini report/Gemini report.md	https://www.researchgate.net/publication/284579347\_Variations\_on\_Ramanujan's\_nested\_radicals | https://www.researchgate.net/publication/284579347_Variations_on_Ramanujan's_nested_radicals	Input-report link; not independently endorsed by inclusion
https://www.researchgate.net/publication/318594159	Claude report.md	https://www.researchgate.net/publication/318594159	Input-report link; not independently endorsed by inclusion
https://www.sciencedirect.com/science/article/pii/S0747717185800146	Claude report.md	https://www.sciencedirect.com/science/article/pii/S0747717185800146	Input-report link; not independently endorsed by inclusion
https://www.scribd.com/document/264470815/Ramanujan-Day	Gemini report/Gemini report.md	https://www.scribd.com/document/264470815/Ramanujan-Day	Input-report link; not independently endorsed by inclusion
https://www.scribd.com/document/968077385/Nested-Radical-Wikipedia-1	Gemini report/Gemini report.md	https://www.scribd.com/document/968077385/Nested-Radical-Wikipedia-1	Input-report link; not independently endorsed by inclusion
https://www.semanticscholar.org/paper/Simplification-of-nested-radicals-Landau/37b2e1949be7d1f950e05bcfdcfb31daa00a970a	Gemini report/Gemini report.md	https://www.semanticscholar.org/paper/Simplification-of-nested-radicals-Landau/37b2e1949be7d1f950e05bcfdcfb31daa00a970a	Input-report link; not independently endorsed by inclusion
https://www.tandfonline.com/toc/tmes20/48/6	Gemini report/Gemini report.md	https://www.tandfonline.com/toc/tmes20/48/6	Input-report link; not independently endorsed by inclusion
https://www.wiley.com/en-us/a-classical-introduction-to-galois-theory-p-9781118336816	Gemini report/Gemini report.md	https://www.wiley.com/en-us/a-classical-introduction-to-galois-theory-p-9781118336816	Input-report link; not independently endorsed by inclusion
