id,title,category,research_status,download_status,asset_routes,report_citations,download_or_landing_urls,dois,notes
zippelbook,Effective Polynomial Computation,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:zippelbook; report-2:zippelbook; report-3:zippelbook,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
geddes,Algorithms for Computer Algebra,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:geddes; report-2:geddes; report-3:geddes,,10.1007/b102438,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
gathen,Modern Computer Algebra,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:gathen; report-2:vzg; report-3:gathen,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
davenport,Computer Algebra: Systems and Algorithms for Algebraic Computation,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:davenport; report-2:davenport; report-3:davenport,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
newman,A Classical Introduction to Galois Theory,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:newman; report-2:newman,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndtII,"Ramanujan's Notebooks, Part II",book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-2:berndtII; report-3:berndt,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndtIV,"Ramanujan's Notebooks, Part IV",book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:berndtIV; report-2:berndtIV; report-3:berndt,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndtV,"Ramanujan's Notebooks, Part V",book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:berndtV; report-2:berndtV; report-3:berndt,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndt97,Ramanujan's association with radicals in India,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:berndt97; report-2:berndtchan1997; report-3:berndt97,,10.1080/00029890.1997.11990738,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
elia,Observations on some algebraic equations associated with Ramanujan's work,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:elia; report-2:elia; report-3:elia,,10.1007/978-3-0348-8223-1_11,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
sury,Ramanujan's route to roots of roots,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:sury; report-2:sury; report-3:sury,https://www.isibang.ac.in/~sury/ramanujanday.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
krepkii,Cube root Ramanujan formulas and elementary Galois theory,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:krepkii; report-2:krepkii; report-3:krepkii,,10.3103/S106345411504007X,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
antipov,Ramanujan denesting formulas for cubic radicals,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:antipov; report-2:antipov; report-3:antipov,,10.1134/S1063454120020028; 10.21638/11701/spbu01.2020.201,"A MathNet PDF (vspua180) surfaced for a related cubic-Ramanujan paper, but exact correspondence to the cited Antipov--Pimenov work has not been established; it is not included as a download asset.
No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
dokmeci,Theorems on Field Extensions and Radical Denesting,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:dokmeci; report-2:dokmeci; report-3:dokmeci,https://math.mit.edu/research/highschool/primes/materials/2017/Dokmeci.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
rahal,Introduction to Nested Radicals,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:rahal; report-2:rahal,https://kurser.math.su.se/pluginfile.php/16103/mod_folder/content/0/2017/2017_17_report.pdf,,"A URL ending 2017_examensarbeten_matematik.pdf names a thesis register, not the requested thesis, and is excluded from downloads.
No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
osipov21,Simplification of nested real radicals revisited,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:osipov21; report-2:osipovkytmanov; report-3:osipov21,,10.1007/978-3-030-85165-1_17,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
osipov26,On Ramanujan's identities with nested cubic radicals,paper_or_thesis,publisher_access_restricted_no_free_copy_located,not_downloaded_network_failure,0,report-1:osipov26; report-2:osipov2026; report-3:osipov26,,10.7868/S3034584726020081,"Official RCSI full-text link redirects to a subscription login. No freely downloadable copy has been established. Metadata is public, but that does not make the article PDF free.
No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
osipov97,On the simplification of nested real radicals,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-3:osipov97,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
tonien,Nested fifth root radical identities from elliptic curves,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:tonien; report-2:tonien; report-3:tonien,https://www.sciencedirect.com/science/article/pii/S2772827725000038,10.1016/j.jaca.2025.100032,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
borwein,Nested radicals,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:borwein; report-2:borweindebarra; report-3:borweinradicals,https://www.tandfonline.com/doi/pdf/10.1080/00029890.1991.11995783,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
polya,Problems and Theorems in Analysis,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-2:polya; report-3:polya,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
guin,The Didactical Challenge of Symbolic Calculators: Turning a Computational Device into a Mathematical Instrument,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-2:guin,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
