record_id,title,asset_id,kind,version,evidence_level,default_enabled,urls_or_resolver_page,resolver,note
mitra,Generalization of Ramanujan's famous nested radicals to the nth root and their evaluation,tex-source,source,arxiv-2404.04051v1,repository_pdf_and_source_links,True,"https://arxiv.org/src/2404.04051v1
https://arxiv.org/e-print/2404.04051v1",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
gutin,Constructive proof of Herschfeld's Convergence Theorem,pdf,pdf,arxiv-1907.02700v6,repository_pdf_and_source_links,True,https://arxiv.org/pdf/1907.02700v6,{},Pinned arXiv version; PDF and source requests use the identical version identifier.
gutin,Constructive proof of Herschfeld's Convergence Theorem,tex-source,source,arxiv-1907.02700v6,repository_pdf_and_source_links,True,"https://arxiv.org/src/1907.02700v6
https://arxiv.org/e-print/1907.02700v6",{},arXiv advertises TeX Source; actual bytes and archive contents have NOT been retrieved in this environment.
piagm,Pi and the AGM: A Study in Analytic Number Theory and Computational Complexity,pdf-author-hosted-scan,pdf,author-hosted-scan,browser_fulltext,True,https://carmamaths.org/jon/Preprints/Papers/Submitted%20Papers/Elliptic%20moments/pi-agm.pdf,{},Author archive; 214 PDF pages with two book pages per scan. Copyright/edition page inspected.
euclid,Elements,tex-pdf-bundle,github_bundle,fitzpatrick-repository-snapshot,repository_pdf_and_source_links,True,https://github.com/rfitzp/Elements,"{""type"": ""github"", ""repo"": ""rfitzp/Elements"", ""branch"": ""master""}",Translator-maintained repository includes Elements.pdf and LaTeX source. Fetch one commit snapshot and pair its bundled PDF with its own sources; do not assert identity with the separately hosted 2008 PDF.
euclid,Elements,published-2008-pdf,pdf,fitzpatrick-2008,browser_fulltext,True,https://farside.ph.utexas.edu/Books/Euclid/Elements.pdf,{},"Free modern Greek/English edition, 545 PDF pages; Book X is included. This is a specific edition of the generic ancient work cited."
sympy,Simplify: simplification functions,resource-01,web,web-resources,cited_web_resource,True,https://docs.sympy.org/latest/modules/simplify/simplify.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sympysrc,sqrtdenest.py,resource-01,source_code,web-resources,cited_web_resource,True,https://raw.githubusercontent.com/sympy/sympy/1.14.0/sympy/simplify/sqrtdenest.py,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sympysrc,sqrtdenest.py,resource-02,source_code,web-resources,cited_web_resource,True,https://raw.githubusercontent.com/sympy/sympy/1.14.0/sympy/simplify/tests/test_sqrtdenest.py,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sympysrc,sqrtdenest.py,resource-03,source_code,web-resources,cited_web_resource,True,https://raw.githubusercontent.com/sympy/sympy/master/sympy/simplify/sqrtdenest.py,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sympysrc,sqrtdenest.py,resource-04,source_code,web-resources,cited_web_resource,True,https://raw.githubusercontent.com/sympy/sympy/master/sympy/simplify/tests/test_sqrtdenest.py,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sympyissues,SymPy radical-denesting issues and discussion,resource-01,web,web-resources,cited_web_resource,True,https://github.com/sympy/sympy/issues/2415,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sympyissues,SymPy radical-denesting issues and discussion,resource-02,web,web-resources,cited_web_resource,True,https://github.com/sympy/sympy/issues/27082,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maxima,raddenest,resource-01,web,web-resources,cited_web_resource,True,https://github.com/gschintgen/raddenest,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maxima,raddenest,resource-02,source_code,web-resources,cited_web_resource,True,https://raw.githubusercontent.com/gschintgen/raddenest/master/raddenest.mac,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maximamanual,Maxima manual,resource-01,web,web-resources,cited_web_resource,True,https://maxima.sourceforge.io/docs/manual/maxima_singlepage.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maximamanual,Maxima manual,resource-02,web,web-resources,cited_web_resource,True,https://maxima.sourceforge.io/docs/manual/,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maximathread,raddenest announcement and discussion,resource-01,web,web-resources,cited_web_resource,True,https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/o6lan6%24h4r%241%40blaine.gmane.org/,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maximathread,raddenest announcement and discussion,resource-02,web,web-resources,cited_web_resource,True,https://maxima-discuss.narkive.com/rz7bUs4t/denesting,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maximathread,raddenest announcement and discussion,resource-03,web,web-resources,cited_web_resource,True,https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/slrno8nek9.2pg.robert.dodier@freekbox.fglan/,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
wolframroot,RootReduce,resource-01,web,web-resources,cited_web_resource,True,https://reference.wolfram.com/language/ref/RootReduce.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
wolframradicals,ToRadicals,resource-01,web,web-resources,cited_web_resource,True,https://reference.wolfram.com/language/ref/ToRadicals.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
wolframresource,RadicalDenest,resource-01,web,web-resources,cited_web_resource,True,https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
wolframresource,RadicalDenest,resource-02,web,web-resources,cited_web_resource,True,https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest/,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
wolframcommunity,Radical denest: an ancient difficult task in symbolic computation,resource-01,web,web-resources,cited_web_resource,True,https://community.wolfram.com/groups/-/m/t/980264,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
wolframcommunity,Radical denest: an ancient difficult task in symbolic computation,resource-02,web,web-resources,cited_web_resource,True,https://community.wolfram.com/groups/-/m/t/2120629,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maple,radnormal,resource-01,web,web-resources,cited_web_resource,True,https://www.maplesoft.com/support/help/Maple/view.aspx?path=radnormal,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
maple,radnormal,resource-02,web,web-resources,cited_web_resource,True,https://www.maplesoft.com/support/help/Maple/view.aspx?path=simplify%2Fradical,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sage,Field of algebraic numbers,resource-01,web,web-resources,cited_web_resource,True,https://doc.sagemath.org/html/en/reference/number_fields/sage/rings/qqbar.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sage,Field of algebraic numbers,resource-02,web,web-resources,cited_web_resource,True,https://doc.sagemath.org/html/en/reference/calculus/sage/symbolic/expression.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
sage,Field of algebraic numbers,resource-03,web,web-resources,cited_web_resource,True,https://doc.sagemath.org/html/en/reference/qqbar/sage/rings/qqbar.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
pari,General number fields,resource-01,web,web-resources,cited_web_resource,True,https://pari.math.u-bordeaux.fr/dochtml/html-stable/General_number_fields.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
pari,General number fields,resource-02,web,web-resources,cited_web_resource,True,https://pari.math.u-bordeaux.fr/dochtml/html/General_number_fields.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
magma,Handbook,resource-01,web,web-resources,cited_web_resource,True,https://magma.maths.usyd.edu.au/magma/handbook/,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
magma,Handbook,resource-02,pdf,web-resources,cited_web_resource,True,https://magma.maths.usyd.edu.au/magma/releasenotes/pdf/relv210.pdf,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
flint,FLINT qqbar.h: algebraic numbers,resource-01,web,web-resources,cited_web_resource,True,https://flintlib.org/doc/qqbar.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
calcium,FLINT / Calcium ca.h: exact complex numbers,resource-01,web,web-resources,cited_web_resource,True,https://flintlib.org/doc/ca.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
fricas,RadicalSolvePackage,resource-01,web,web-resources,cited_web_resource,True,https://fricas.github.io/api/RadicalSolvePackage.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
fricas,RadicalSolvePackage,resource-02,web,web-resources,cited_web_resource,True,https://groups.google.com/g/fricas-devel/c/7Kp0vVbPXJE,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
honda,GaloisGroupSolver,resource-01,web,web-resources,cited_web_resource,True,https://github.com/YasuakiHonda/GaloisGroupSolver,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
wikipedia,Nested radical,resource-01,web,web-resources,cited_web_resource,True,https://en.wikipedia.org/wiki/Nested_radical,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
mathworld,Nested Radical,resource-01,web,web-resources,cited_web_resource,True,https://mathworld.wolfram.com/NestedRadical.html,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
brownmath,Nested radicals,resource-01,web,web-resources,cited_web_resource,True,https://brownmath.com/alge/nestrad.htm,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
mse,Math Stack Exchange questions on denesting radicals,resource-01,web,web-resources,cited_web_resource,True,https://math.stackexchange.com/questions/4680,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
mse,Math Stack Exchange questions on denesting radicals,resource-02,web,web-resources,cited_web_resource,True,https://math.stackexchange.com/questions/16331,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
mse,Math Stack Exchange questions on denesting radicals,resource-03,web,web-resources,cited_web_resource,True,https://math.stackexchange.com/questions/871639,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
mo,MathOverflow discussions of radicals and algebraic identities,resource-01,web,web-resources,cited_web_resource,True,https://mathoverflow.net/questions/319874/relevance-of-landaus-algorithm-for-denesting-radicals,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
mo,MathOverflow discussions of radicals and algebraic identities,resource-02,web,web-resources,cited_web_resource,True,https://mathoverflow.net/questions/410388,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
mo,MathOverflow discussions of radicals and algebraic identities,resource-03,web,web-resources,cited_web_resource,True,https://mathoverflow.net/questions/344478,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
mo,MathOverflow discussions of radicals and algebraic identities,resource-04,web,web-resources,cited_web_resource,True,https://mathoverflow.net/questions/319874,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
oeis,A135611,resource-01,web,web-resources,cited_web_resource,True,https://oeis.org/A135611,{},URL cited in an input report. Not all web pages have been independently reopened. HTML is saved as HTML; software code is not labelled as article TeX.
