id,title,category,research_status,download_status,asset_routes,report_citations,download_or_landing_urls,dois,notes
bloemer91,Computing sums of radicals in polynomial time,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:bloemer91; report-2:blomer1991; report-3:blomer91,https://ieeexplore.ieee.org/iel2/379/4746/00185434.pdf,10.1109/SFCS.1991.185434,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bloemer92,How to denest Ramanujan's nested radicals,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:bloemer92; report-2:blomer1992; report-3:blomer92,https://ieeexplore.ieee.org/iel2/424/6693/00267807.pdf,10.1109/SFCS.1992.267807,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bloemer93,Simplifying Expressions Involving Radicals,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:bloemer93; report-2:blomerthesis; report-3:blomerthesis,https://cs.nyu.edu/exact/pap/rootBounds/sumOfSqrts/bloemerThesis.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bloemer00,Denesting by bounded degree radicals,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:bloemer00; report-2:blomer2000; report-3:blomer2000,https://www.researchgate.net/publication/225210864_Denesting_by_Bounded_Degree_Radicals,10.1007/s004530010028; 10.1007/3-540-63397-9_5,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bloemer98,A probabilistic zero-test for expressions involving roots of rational numbers,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:bloemer98; report-2:blomerzero; report-3:blomer98,,10.1007/3-540-68530-8_13,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
jeffrey,Simplifying square roots of square roots by denesting,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:jeffrey; report-2:jeffreyrich; report-3:jeffrey,https://cybertester.com/data/denest.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
honsbeek99,Denesting certain nested radicals of depth two,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:honsbeek99; report-2:honsbeek1999; report-3:honsbeek99,https://repository.ubn.ru.nl/bitstream/handle/2066/18722/18722.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
honsbeek05,Radical Extensions and Galois Groups,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:honsbeek05; report-2:honsbeek2005; report-3:honsbeek,https://www.math.ru.nl/~bosma/students/honsbeek/M_Honsbeek_thesis.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
besicovitch,On the linear independence of fractional powers of integers,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:besicovitch; report-2:besicovitch; report-3:besicovitch,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
mordell,On the linear independence of algebraic numbers,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:mordell; report-2:mordell; report-3:mordell,https://projecteuclid.org/journals/pacific-journal-of-mathematics/volume-3/issue-3/On-the-linear-independence-of-algebraic-numbers/pjm/1103051334.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
siegel,Algebraische Abhängigkeit von Wurzeln,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:siegel; report-2:siegel; report-3:siegel,https://eudml.org/doc/205133,10.4064/aa-21-1-59-64,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
kneser,Lineare Abhängigkeit von Wurzeln,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:kneser; report-2:kneser; report-3:kneser,https://matwbn.icm.edu.pl/ksiazki/aa/aa26/aa26313.pdf,10.4064/aa-26-3-307-308,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
lll,Factoring polynomials with rational coefficients,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:lll; report-2:lll; report-3:lll,https://infoscience.epfl.ch/bitstreams/4fa72d55-df13-42ed-9c2d-bb1cdfdd8801/download,10.1007/BF01457454,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
landaufactor,Factoring polynomials over algebraic number fields,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-2:landaufactor,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
kluners,On computing subfields. A detailed description of the algorithm,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-2:kluners,https://www.numdam.org/item/JTNB_1998__10_2_243_0.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
lenstra06,Entangled Radicals,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:lenstra06,https://www.math.leidenuniv.nl/~hwl/papers/rad.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
perucca,Linear relations among radicals,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:perucca; report-3:perucca,"https://arxiv.org/pdf/2511.02498v1
https://arxiv.org/src/2511.02498v1
https://arxiv.org/e-print/2511.02498v1",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
cohen,A Course in Computational Algebraic Number Theory,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:cohen; report-2:cohen; report-3:cohen,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
cox,Galois Theory,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:cox; report-2:cox; report-3:cox,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
zippelbook,Effective Polynomial Computation,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:zippelbook; report-2:zippelbook; report-3:zippelbook,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
geddes,Algorithms for Computer Algebra,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:geddes; report-2:geddes; report-3:geddes,,10.1007/b102438,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
gathen,Modern Computer Algebra,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:gathen; report-2:vzg; report-3:gathen,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
davenport,Computer Algebra: Systems and Algorithms for Algebraic Computation,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:davenport; report-2:davenport; report-3:davenport,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
newman,A Classical Introduction to Galois Theory,book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:newman; report-2:newman,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
ramanujan,Collected Papers of Srinivasa Ramanujan,book,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:ramanujan; report-2:ramanujan; report-3:ramanujan,https://archive.org/details/pli.kerala.rare.28155,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndtII,"Ramanujan's Notebooks, Part II",book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-2:berndtII; report-3:berndt,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndtIV,"Ramanujan's Notebooks, Part IV",book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:berndtIV; report-2:berndtIV; report-3:berndt,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndtV,"Ramanujan's Notebooks, Part V",book,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:berndtV; report-2:berndtV; report-3:berndt,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndt97,Ramanujan's association with radicals in India,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:berndt97; report-2:berndtchan1997; report-3:berndt97,,10.1080/00029890.1997.11990738,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
berndt98,Radicals and units in Ramanujan's work,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:berndt98; report-2:berndtchan1998; report-3:berndt98,https://matwbn.icm.edu.pl/ksiazki/aa/aa87/aa8725.pdf,10.4064/aa-87-2-145-158,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
shanks,Incredible identities,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:shanks; report-2:shanks; report-3:shanks,"https://www.fq.math.ca/Scanned/12-3/shanks-a.pdf
https://www.fq.math.ca/Scanned/12-3/shanks-b.pdf",10.1080/00150517.1974.12430734,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
spohn,Letter to the editor,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:spohn; report-2:spohn; report-3:spohn,https://www.fq.math.ca/Scanned/14-1/letter1.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
bumby,Incredible identities revisited,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:bumby; report-2:bumby; report-3:bumby,https://www.fq.math.ca/Scanned/25-1/bumby.pdf,10.1080/00150517.1987.12429728,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
elia,Observations on some algebraic equations associated with Ramanujan's work,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:elia; report-2:elia; report-3:elia,,10.1007/978-3-0348-8223-1_11,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
osler,Cardan polynomials and the reduction of radicals,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:osler; report-2:osler; report-3:osler,https://www.researchgate.net/publication/282728308_Cardan_Polynomials_and_the_Reduction_of_Radicals,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
oslercubic,An easy look at the cubic formula,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-3:oslercubic,https://math.ucr.edu/~res/math153-2019/osler-An_easy_look_at_the_cubic_formula.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
witula,"Cardano's formula, square roots, Chebyshev polynomials and radicals",paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:witula; report-2:witula; report-3:witula,https://www.researchgate.net/profile/Roman-Witula-2/publication/241071508_Cardano%27s_formula_square_roots_Chebyshev_polynomials_and_radicals/links/5d385ae992851cd04682a056/Cardanos-formula-square-roots-Chebyshev-polynomials-and-radicals.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
barbero,Identities involving zeros of Ramanujan and Shanks cubic polynomials,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:barbero; report-2:barbero; report-3:barbero,"https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.pdf
https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.html",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
shevelev,On Ramanujan cubic polynomials,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:shevelev,"https://arxiv.org/pdf/0711.3420v1
https://arxiv.org/src/0711.3420v1
https://arxiv.org/e-print/0711.3420v1",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
sury,Ramanujan's route to roots of roots,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:sury; report-2:sury; report-3:sury,https://www.isibang.ac.in/~sury/ramanujanday.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
krepkii,Cube root Ramanujan formulas and elementary Galois theory,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:krepkii; report-2:krepkii; report-3:krepkii,,10.3103/S106345411504007X,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
antipov,Ramanujan denesting formulas for cubic radicals,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:antipov; report-2:antipov; report-3:antipov,,10.1134/S1063454120020028; 10.21638/11701/spbu01.2020.201,"A MathNet PDF (vspua180) surfaced for a related cubic-Ramanujan paper, but exact correspondence to the cited Antipov--Pimenov work has not been established; it is not included as a download asset.
No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
gkioulekas,On the denesting of nested square roots,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:gkioulekas; report-2:gkioulekas; report-3:gkioulekas,https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/submitted/denesting-square-roots.pdf,10.1080/0020739X.2017.1290831,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
dokmeci,Theorems on Field Extensions and Radical Denesting,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:dokmeci; report-2:dokmeci; report-3:dokmeci,https://math.mit.edu/research/highschool/primes/materials/2017/Dokmeci.pdf,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
rahal,Introduction to Nested Radicals,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:rahal; report-2:rahal,https://kurser.math.su.se/pluginfile.php/16103/mod_folder/content/0/2017/2017_17_report.pdf,,"A URL ending 2017_examensarbeten_matematik.pdf names a thesis register, not the requested thesis, and is excluded from downloads.
No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
girstmair,Reducing radicals in the spirit of Euclid,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:girstmair; report-2:girstmair; report-3:girstmair,"https://arxiv.org/pdf/2004.06039v1
https://arxiv.org/src/2004.06039v1
https://arxiv.org/e-print/2004.06039v1",10.1016/j.jsc.2020.07.019,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
osipov21,Simplification of nested real radicals revisited,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-1:osipov21; report-2:osipovkytmanov; report-3:osipov21,,10.1007/978-3-030-85165-1_17,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
osipov26,On Ramanujan's identities with nested cubic radicals,paper_or_thesis,publisher_access_restricted_no_free_copy_located,not_downloaded_network_failure,0,report-1:osipov26; report-2:osipov2026; report-3:osipov26,,10.7868/S3034584726020081,"Official RCSI full-text link redirects to a subscription login. No freely downloadable copy has been established. Metadata is public, but that does not make the article PDF free.
No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
osipov97,On the simplification of nested real radicals,paper_or_thesis,no_verified_download_located_search_not_exhaustive,not_downloaded_network_failure,0,report-3:osipov97,,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
cavallo,Denesting cubic radicals,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:cavallo; report-2:cavallo; report-3:cavallo,"https://arxiv.org/pdf/2403.04776v2
https://arxiv.org/src/2403.04776v2
https://arxiv.org/e-print/2403.04776v2",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
tonien,Nested fifth root radical identities from elliptic curves,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:tonien; report-2:tonien; report-3:tonien,https://www.sciencedirect.com/science/article/pii/S2772827725000038,10.1016/j.jaca.2025.100032,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
rit,Identity testing for radical expressions,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:rit; report-2:rit; report-3:rit,"https://arxiv.org/pdf/2202.07961v4
https://arxiv.org/src/2202.07961v4
https://arxiv.org/e-print/2202.07961v4",10.1145/3531130.3533331,"The pinned arXiv v4 is a revised 2024 preprint; the reports also cite the LICS 2022 publication. These are related versions, not identical files.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
gaillard,On the order of power series and the sum of square roots problem,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:gaillard; report-2:gaillard; report-3:gaillard,"https://arxiv.org/pdf/2304.13605v1
https://arxiv.org/src/2304.13605v1
https://arxiv.org/e-print/2304.13605v1",10.1145/3597066.3597079,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
allender,On the complexity of numerical analysis,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:allender; report-2:allender; report-3:allender,"https://eccc.weizmann.ac.il/report/2005/037/download/
https://dagstuhl.sunsite.rwth-aachen.de/volltexte/2006/613/pdf/06111.MiltersenPeterBro.Paper.613.pdf",10.1137/070697926,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
exactgeometry,Recent progress in exact geometric computation,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-2:exactgeometry,https://inria.hal.science/inria-00344355v1/document,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
herschfeld,On infinite radicals,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,1,report-1:herschfeld; report-2:herschfeld; report-3:herschfeld,https://is.muni.cz/el/1431/jaro2015/M7400/um/2301294_147_251_4_41_15_08_2014_19_16.pdf,10.1080/00029890.1935.11987745,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
borwein,Nested radicals,paper_or_thesis,candidate_links_only,not_downloaded_network_failure,1,report-1:borwein; report-2:borweindebarra; report-3:borweinradicals,https://www.tandfonline.com/doi/pdf/10.1080/00029890.1991.11995783,,"No corresponding TeX source was located during this search; this does not establish that none exists.
No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download."
campbell,Variations on Ramanujan's nested radicals,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:campbell; report-2:campbell; report-3:campbell,"https://arxiv.org/pdf/1511.06865v1
https://arxiv.org/src/1511.06865v1
https://arxiv.org/e-print/1511.06865v1",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
mitra,Generalization of Ramanujan's famous nested radicals to the nth root and their evaluation,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-1:mitra; report-2:mitra; report-3:mitra,"https://arxiv.org/pdf/2404.04051v1
https://arxiv.org/src/2404.04051v1
https://arxiv.org/e-print/2404.04051v1",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
gutin,Constructive proof of Herschfeld's Convergence Theorem,paper_or_thesis,fulltext_or_source_route_located,not_downloaded_network_failure,2,report-3:gutin,"https://arxiv.org/pdf/1907.02700v6
https://arxiv.org/src/1907.02700v6
https://arxiv.org/e-print/1907.02700v6",,No external bytes were successfully downloaded in this chat. Availability evidence is distinct from a successful download.
