folder,work_id,title,kind,research_status,tex_status,session_download_status,original_report_references,download_candidates,discovery_pages,notes
014_blomer_2000,blomer_2000,Denesting by bounded degree radicals,paper_or_thesis,full_text_link_or_repository_record_located_binary_unverified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer00; report-2:blomer2000; report-3:blomer2000,resolve_pdf | conference_1997/paper.pdf | https://www.researchgate.net/publication/225210864_Denesting_by_Bounded_Degree_Radicals,"https://www.researchgate.net/publication/225210864_Denesting_by_Bounded_Degree_Radicals
https://doi.org/10.1007/s004530010028
https://doi.org/10.1007/3-540-63397-9_5","The public-copy lead is the ESA 1997 conference version; the 2000 journal version remains a separate unresolved edition.
Session outcome: no external publication or original TeX source bytes were downloaded."
015_blomer_thesis,blomer_thesis,Simplifying Expressions Involving Radicals,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bloemer93; report-2:blomerthesis; report-3:blomerthesis,pdf | paper.pdf | https://cs.nyu.edu/exact/pap/rootBounds/sumOfSqrts/bloemerThesis.pdf,https://cs.nyu.edu/exact/pap/rootBounds/sumOfSqrts/bloemerThesis.pdf,Session outcome: no external publication or original TeX source bytes were downloaded.
016_borwein,borwein,Nested radicals,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:borwein; report-2:borweindebarra; report-3:borweinradicals,pdf | OPTIONAL publisher_copy.pdf | https://www.tandfonline.com/doi/pdf/10.1080/00029890.1991.11995783,,"An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
017_brownmath,brownmath,Denesting Radicals (or Unnesting Radicals),web_resource,public_web_resource_cited_download_not_verified,not_applicable_web_or_software_resource,not_downloaded_network_unavailable,report-1:brown; report-2:brownmath; report-3:brownmath,html | web/page_1.html | https://brownmath.com/alge/nestrad.htm,https://brownmath.com/alge/nestrad.htm,"HTML is saved as an unmodified page snapshot, not converted to PDF and not represented as a complete offline website. Scripts, styles and images may remain external. Access-limited pages are logged as failures.
Session outcome: no external publication or original TeX source bytes were downloaded."
018_bumby,bumby,Incredible identities revisited,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:bumby; report-2:bumby; report-3:bumby,pdf | paper.pdf | https://www.fq.math.ca/Scanned/25-1/bumby.pdf,"https://www.fq.math.ca/25-1.html
https://doi.org/10.1080/00150517.1987.12429728",Session outcome: no external publication or original TeX source bytes were downloaded.
019_calcium,calcium,Calcium / FLINT: exact complex numbers (ca.h),web_resource,public_web_resource_cited_download_not_verified,not_applicable_web_or_software_resource,not_downloaded_network_unavailable,report-3:calcium,html | web/page_1.html | https://flintlib.org/doc/ca.html,https://flintlib.org/doc/ca.html,"HTML is saved as an unmodified page snapshot, not converted to PDF and not represented as a complete offline website. Scripts, styles and images may remain external. Access-limited pages are logged as failures.
Session outcome: no external publication or original TeX source bytes were downloaded."
020_campbell,campbell,Variations on Ramanujan's nested radicals,paper_or_thesis,public_full_text_candidate_located,arXiv_original_source_download_will_be_attempted_not_yet_verified,not_downloaded_network_unavailable,report-1:campbell; report-2:campbell; report-3:campbell,arxiv_pair | arxiv | https://arxiv.org/abs/1511.06865v1 | https://arxiv.org/pdf/1511.06865v1 | https://arxiv.org/src/1511.06865v1,"https://arxiv.org/html/1511.06865v1
https://arxiv.org/abs/1511.06865","PDF and source are paired only at the same pinned arXiv version. arXiv source availability is not guaranteed; PDF-only submissions are reported as lacking TeX.
Session outcome: no external publication or original TeX source bytes were downloaded."
021_cavallo,cavallo,Denesting cubic radicals,paper_or_thesis,public_full_text_candidate_located,arXiv_original_source_download_will_be_attempted_not_yet_verified,not_downloaded_network_unavailable,report-1:cavallo; report-2:cavallo; report-3:cavallo,arxiv_pair | arxiv | https://arxiv.org/abs/2403.04776v2 | https://arxiv.org/pdf/2403.04776v2 | https://arxiv.org/src/2403.04776v2,"https://arxiv.org/html/2403.04776v2
https://sites.google.com/view/albertocavallomath/misc
https://arxiv.org/abs/2403.04776","PDF and source are paired only at the same pinned arXiv version. arXiv source availability is not guaranteed; PDF-only submissions are reported as lacking TeX.
Session outcome: no external publication or original TeX source bytes were downloaded."
022_caviness,caviness,Simplification of radical expressions,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:caviness76; report-2:cavinessfateman; report-3:caviness,pdf | paper.pdf | https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf,https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf,Session outcome: no external publication or original TeX source bytes were downloaded.
023_cohen,cohen,A Course in Computational Algebraic Number Theory,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:cohen; report-2:cohen; report-3:cohen,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
024_cotner,cotner,The Nesting Depths of Radical Expression,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:cotner; report-2:cotner; report-3:cotner,,https://math.berkeley.edu/publications/nesting-depths-radical-expression,"The catalog author field includes the advisor. The student author is Carl Frank Cotner; the page does not expose a full-text download.
No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
025_cox,cox,Galois Theory,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:cox; report-2:cox; report-3:cox,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
026_davenport,davenport,Computer Algebra,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:davenport; report-2:davenport; report-3:davenport,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
027_dokmeci,dokmeci,Theorems on Field Extensions and Radical Denesting,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:dokmeci; report-2:dokmeci; report-3:dokmeci,pdf | paper.pdf | https://math.mit.edu/research/highschool/primes/materials/2017/Dokmeci.pdf,https://math.mit.edu/research/highschool/primes/materials/2017/Dokmeci.pdf,Session outcome: no external publication or original TeX source bytes were downloaded.
028_elia,elia,Observations on some algebraic equations associated with Ramanujan's work,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:elia; report-2:elia; report-3:elia,,"https://link.springer.com/chapter/10.1007/978-3-0348-8223-1_11
https://doi.org/10.1007/978-3-0348-8223-1_11","No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
029_euclid,euclid,Elements,book,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:euclid,pdf | paper.pdf | https://farside.ph.utexas.edu/Books/Euclid/Elements.pdf,,"Fitzpatrick bilingual edition of all thirteen books, including Book X; this is a modern edition of the ancient work, not an original ancient source file.
Session outcome: no external publication or original TeX source bytes were downloaded."
030_exactgeometry,exactgeometry,Recent progress in exact geometric computation,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:exactgeometry,pdf | paper.pdf | https://inria.hal.science/inria-00344355v1/document,https://www.sciencedirect.com/science/article/pii/S1567832604000773,Session outcome: no external publication or original TeX source bytes were downloaded.
031_fateman,fateman,Essays in Algebraic Simplification,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:fateman72; report-2:fatemanthesis; report-3:fateman,pdf | MIT-LCS-TR-095.pdf | https://publications.csail.mit.edu/lcs/pubs/pdf/MIT-LCS-TR-095.pdf,,"The located file is MIT Project MAC technical report TR-95 (1972). The reports describe the thesis inconsistently; this download is labelled as the technical report, not as a verified MIT PhD thesis.
Session outcome: no external publication or original TeX source bytes were downloaded."
032_flint,flint,FLINT: algebraic numbers (qqbar.h),web_resource,public_web_resource_cited_download_not_verified,not_applicable_web_or_software_resource,not_downloaded_network_unavailable,report-3:flint,html | web/page_1.html | https://flintlib.org/doc/qqbar.html,https://flintlib.org/doc/qqbar.html,"HTML is saved as an unmodified page snapshot, not converted to PDF and not represented as a complete offline website. Scripts, styles and images may remain external. Access-limited pages are logged as failures.
Session outcome: no external publication or original TeX source bytes were downloaded."
033_fricas,fricas,RadicalSolvePackage,web_resource,public_web_resource_cited_download_not_verified,not_applicable_web_or_software_resource,not_downloaded_network_unavailable,report-1:fricas; report-3:fricas,"html | web/page_1.html | https://fricas.github.io/api/RadicalSolvePackage.html
html | web/page_2.html | https://groups.google.com/g/fricas-devel/c/7Kp0vVbPXJE","https://fricas.github.io/api/RadicalSolvePackage.html
https://groups.google.com/g/fricas-devel/c/7Kp0vVbPXJE","HTML is saved as an unmodified page snapshot, not converted to PDF and not represented as a complete offline website. Scripts, styles and images may remain external. Access-limited pages are logged as failures.
Session outcome: no external publication or original TeX source bytes were downloaded."
034_gaillard,gaillard,On the order of power series and the sum of square roots problem,paper_or_thesis,public_full_text_candidate_located,arXiv_original_source_download_will_be_attempted_not_yet_verified,not_downloaded_network_unavailable,report-1:gaillard; report-2:gaillard; report-3:gaillard,arxiv_pair | arxiv | https://arxiv.org/abs/2304.13605 | https://arxiv.org/pdf/2304.13605 | https://arxiv.org/src/2304.13605,"https://arxiv.org/abs/2304.13605
https://doi.org/10.1145/3597066.3597079","PDF and source are paired only at the same pinned arXiv version. arXiv source availability is not guaranteed; PDF-only submissions are reported as lacking TeX.
Session outcome: no external publication or original TeX source bytes were downloaded."
035_gathen,gathen,Modern Computer Algebra,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:gathen; report-2:vzg; report-3:gathen,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
036_geddes,geddes,Algorithms for Computer Algebra,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:geddes; report-2:geddes; report-3:geddes,,https://doi.org/10.1007/b102438,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
037_girstmair,girstmair,Reducing radicals in the spirit of Euclid,paper_or_thesis,public_full_text_candidate_located,arXiv_original_source_download_will_be_attempted_not_yet_verified,not_downloaded_network_unavailable,report-1:girstmair; report-2:girstmair; report-3:girstmair,arxiv_pair | arxiv | https://arxiv.org/abs/2004.06039 | https://arxiv.org/pdf/2004.06039 | https://arxiv.org/src/2004.06039,"https://arxiv.org/abs/2004.06039
https://www.sciencedirect.com/science/article/pii/S0747717120300742
https://doi.org/10.1016/j.jsc.2020.07.019","PDF and source are paired only at the same pinned arXiv version. arXiv source availability is not guaranteed; PDF-only submissions are reported as lacking TeX.
Session outcome: no external publication or original TeX source bytes were downloaded."
038_gkioulekas,gkioulekas,On the denesting of nested square roots,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:gkioulekas; report-2:gkioulekas; report-3:gkioulekas,pdf | paper.pdf | https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/024-denesting-square-roots.pdf | https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/submitted/denesting-square-roots.pdf,"https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/024-denesting-square-roots.pdf
https://scholarworks.utrgv.edu/mss_fac/243/
https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/submitted/denesting-square-roots.pdf
https://doi.org/10.1080/0020739X.2017.1290831","The submitted manuscript is an alternate version, not necessarily identical to the final journal typesetting.
Session outcome: no external publication or original TeX source bytes were downloaded."
039_guin,guin,The Didactical Challenge of Symbolic Calculators: Turning a Computational Device into a Mathematical Instrument,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:guin,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
040_gutin,gutin,Constructive proof of Herschfeld's Convergence Theorem,paper_or_thesis,public_full_text_candidate_located,arXiv_original_source_download_will_be_attempted_not_yet_verified,not_downloaded_network_unavailable,report-3:gutin,arxiv_pair | arxiv | https://arxiv.org/abs/1907.02700v6 | https://arxiv.org/pdf/1907.02700v6 | https://arxiv.org/src/1907.02700v6,https://arxiv.org/abs/1907.02700,"PDF and source are paired only at the same pinned arXiv version. arXiv source availability is not guaranteed; PDF-only submissions are reported as lacking TeX.
Session outcome: no external publication or original TeX source bytes were downloaded."
041_herschfeld,herschfeld,On infinite radicals,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:herschfeld; report-2:herschfeld; report-3:herschfeld,pdf | paper.pdf | https://is.muni.cz/el/1431/jaro2015/M7400/um/2301294_147_251_4_41_15_08_2014_19_16.pdf,https://doi.org/10.1080/00029890.1935.11987745,Session outcome: no external publication or original TeX source bytes were downloaded.
042_honda,honda,GaloisGroupSolver,web_resource,public_web_resource_cited_download_not_verified,not_applicable_web_or_software_resource,not_downloaded_network_unavailable,report-1:honda; report-2:honda; report-3:honda,"html | web/page_1.html | https://github.com/YasuakiHonda/GaloisGroupSolver
zip | software/repository.zip | https://codeload.github.com/YasuakiHonda/GaloisGroupSolver/zip/HEAD",https://github.com/YasuakiHonda/GaloisGroupSolver,"HTML is saved as an unmodified page snapshot, not converted to PDF and not represented as a complete offline website. Scripts, styles and images may remain external. Access-limited pages are logged as failures.
Repository archive records the version fetched at execution time. It is not compiled or executed.
Session outcome: no external publication or original TeX source bytes were downloaded."
043_honsbeek_1999,honsbeek_1999,Denesting Certain Nested Radicals of Depth Two,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:honsbeek99; report-2:honsbeek1999; report-3:honsbeek99,pdf | paper.pdf | https://repository.ubn.ru.nl/bitstream/handle/2066/18722/18722.pdf,https://repository.ubn.ru.nl/handle/2066/18722,Session outcome: no external publication or original TeX source bytes were downloaded.
044_honsbeek_thesis,honsbeek_thesis,Radical Extensions and Galois Groups,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:honsbeek05; report-2:honsbeek2005; report-3:honsbeek,pdf | paper.pdf | https://www.math.ru.nl/~bosma/students/honsbeek/M_Honsbeek_thesis.pdf,https://www.math.ru.nl/~bosma/students/honsbeek/M_Honsbeek_thesis.pdf,Session outcome: no external publication or original TeX source bytes were downloaded.
045_horng_1990,horng_1990,Simplifying nested radicals and solving polynomials by radicals in minimum depth,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:horng90; report-2:horng1990; report-3:hornghuang,,"https://ieeexplore.ieee.org/document/89607/
https://doi.org/10.1090/S0025-5718-99-01060-1","No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
046_horng_1999,horng_1999,Solving polynomials by radicals with roots of unity in minimum depth,paper_or_thesis,full_text_link_or_repository_record_located_binary_unverified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:horng99; report-2:horng1999; report-3:hornghuang,"resolve_pdf | paper.pdf | https://www.researchgate.net/publication/220577276_Solving_polynomials_by_radicals_with_roots_of_unity_in_minimum_depth
pdf | OPTIONAL publisher_copy.pdf | https://www.ams.org/journals/mcom/1999-68-226/S0025-5718-99-01060-1/S0025-5718-99-01060-1.pdf","https://www.jstor.org/stable/2585063
https://www.researchgate.net/publication/220577276_Solving_polynomials_by_radicals_with_roots_of_unity_in_minimum_depth
https://doi.org/10.1090/S0025-5718-99-01060-1","An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
047_horng_thesis,horng_thesis,Simplifying Nested Radicals and Solving Polynomials by Nested Radicals in Minimum Depth,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:horngThesis; report-3:horngthesis,,"https://dl.acm.org/doi/10.5555/142931
https://doi.org/10.5555/142931","No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
048_infiniteblogs,infiniteblogs,Articles and discussion of infinitely nested radicals,web_resource,public_web_resource_cited_download_not_verified,not_applicable_web_or_software_resource,not_downloaded_network_unavailable,report-1:infiniteblogs,"html | web/page_1.html | https://www.cantorsparadise.com/ramanujans-nested-radical-problem-f14c3060e495
html | web/page_2.html | https://medium.com/@ArchieGSmith/calculus-of-infinite-nested-radicals-1ab3e1d26774
html | web/page_3.html | https://math.stackexchange.com/questions/4049946/the-infinitely-nested-radicals-problem-and-ramanujans-wondrous-formula","https://www.cantorsparadise.com/ramanujans-nested-radical-problem-f14c3060e495
https://medium.com/@ArchieGSmith/calculus-of-infinite-nested-radicals-1ab3e1d26774
https://math.stackexchange.com/questions/4049946/the-infinitely-nested-radicals-problem-and-ramanujans-wondrous-formula","HTML is saved as an unmodified page snapshot, not converted to PDF and not represented as a complete offline website. Scripts, styles and images may remain external. Access-limited pages are logged as failures.
Session outcome: no external publication or original TeX source bytes were downloaded."
049_jeffrey_rich,jeffrey_rich,Simplifying square roots of square roots by denesting,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:jeffrey; report-2:jeffreyrich; report-3:jeffrey,pdf | paper.pdf | https://cybertester.com/data/denest.pdf,"https://cybertester.com/data/denest.pdf
https://math.unm.edu/~wester/cas/book/contents.html
https://www.math.uwo.ca/faculty/jeffrey_david/publications.html","The supplied PDF URL is a third-party copy. Author and book pages are retained for provenance; availability and identity must still be checked after download.
Session outcome: no external publication or original TeX source bytes were downloaded."
050_kluners,kluners,On computing subfields. A detailed description of the algorithm,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:kluners,"resolve_pdf | paper.pdf | https://jtnb.centre-mersenne.org/articles/10.5802/jtnb.227/
pdf | OPTIONAL publisher_copy.pdf | https://www.numdam.org/article/JTNB_1998__10_2_243_0.pdf | https://jtnb.centre-mersenne.org/item/10.5802/jtnb.227.pdf","https://jtnb.centre-mersenne.org/item/JTNB_1998__10_2_243_0/
https://jtnb.centre-mersenne.org/articles/10.5802/jtnb.227/","An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
051_kneser,kneser,Lineare Abhängigkeit von Wurzeln,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:kneser; report-2:kneser; report-3:kneser,pdf | paper.pdf | https://matwbn.icm.edu.pl/ksiazki/aa/aa26/aa26313.pdf,"https://matwbn.icm.edu.pl/ksiazki/aa/aa26/aa26313.pdf
https://doi.org/10.4064/aa-26-3-307-308",Session outcome: no external publication or original TeX source bytes were downloaded.
052_krepkii,krepkii,Cube root Ramanujan formulas and elementary Galois theory,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:krepkii; report-2:krepkii; report-3:krepkii,pdf | paper.pdf | https://math-mech-astr-journal.spbu.ru/article/download/11190/7872/34789,https://doi.org/10.3103/S106345411504007X,"Russian original is the located candidate; not the English translation. No original TeX was located.
Session outcome: no external publication or original TeX source bytes were downloaded."
053_landau_1992,landau_1992,Simplification of nested radicals,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:landau92; report-2:landau; report-3:landau,pdf | OPTIONAL publisher_copy.pdf | https://epubs.siam.org/doi/pdf/10.1137/0221009,"https://fletcher.tufts.edu/research/research-publications/simplification-nested-radicals-0
https://epubs.siam.org/doi/10.1137/0221009
https://doi.org/10.1137/0221009
https://doi.org/10.1109/SFCS.1989.63496","An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
054_landau_1994,landau_1994,How to tangle with a nested radical,paper_or_thesis,public_full_text_candidate_located,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:landau94; report-2:landausurvey; report-3:landau94,pdf | paper.pdf | https://web.cs.umass.edu/publication/docs/1991/UM-CS-1991-076.pdf,https://doi.org/10.1007/BF03024284,"The UMass file is a technical-report/preprint version of the later Mathematical Intelligencer survey.
Session outcome: no external publication or original TeX source bytes were downloaded."
