folder,work_id,title,kind,research_status,tex_status,session_download_status,original_report_references,download_candidates,discovery_pages,notes
023_cohen,cohen,A Course in Computational Algebraic Number Theory,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:cohen; report-2:cohen; report-3:cohen,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
024_cotner,cotner,The Nesting Depths of Radical Expression,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:cotner; report-2:cotner; report-3:cotner,,https://math.berkeley.edu/publications/nesting-depths-radical-expression,"The catalog author field includes the advisor. The student author is Carl Frank Cotner; the page does not expose a full-text download.
No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
025_cox,cox,Galois Theory,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:cox; report-2:cox; report-3:cox,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
026_davenport,davenport,Computer Algebra,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:davenport; report-2:davenport; report-3:davenport,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
028_elia,elia,Observations on some algebraic equations associated with Ramanujan's work,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:elia; report-2:elia; report-3:elia,,"https://link.springer.com/chapter/10.1007/978-3-0348-8223-1_11
https://doi.org/10.1007/978-3-0348-8223-1_11","No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
035_gathen,gathen,Modern Computer Algebra,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:gathen; report-2:vzg; report-3:gathen,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
036_geddes,geddes,Algorithms for Computer Algebra,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:geddes; report-2:geddes; report-3:geddes,,https://doi.org/10.1007/b102438,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
039_guin,guin,The Didactical Challenge of Symbolic Calculators: Turning a Computational Device into a Mathematical Instrument,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:guin,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
045_horng_1990,horng_1990,Simplifying nested radicals and solving polynomials by radicals in minimum depth,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:horng90; report-2:horng1990; report-3:hornghuang,,"https://ieeexplore.ieee.org/document/89607/
https://doi.org/10.1090/S0025-5718-99-01060-1","No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
046_horng_1999,horng_1999,Solving polynomials by radicals with roots of unity in minimum depth,paper_or_thesis,full_text_link_or_repository_record_located_binary_unverified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:horng99; report-2:horng1999; report-3:hornghuang,"resolve_pdf | paper.pdf | https://www.researchgate.net/publication/220577276_Solving_polynomials_by_radicals_with_roots_of_unity_in_minimum_depth
pdf | OPTIONAL publisher_copy.pdf | https://www.ams.org/journals/mcom/1999-68-226/S0025-5718-99-01060-1/S0025-5718-99-01060-1.pdf","https://www.jstor.org/stable/2585063
https://www.researchgate.net/publication/220577276_Solving_polynomials_by_radicals_with_roots_of_unity_in_minimum_depth
https://doi.org/10.1090/S0025-5718-99-01060-1","An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
047_horng_thesis,horng_thesis,Simplifying Nested Radicals and Solving Polynomials by Nested Radicals in Minimum Depth,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:horngThesis; report-3:horngthesis,,"https://dl.acm.org/doi/10.5555/142931
https://doi.org/10.5555/142931","No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
050_kluners,kluners,On computing subfields. A detailed description of the algorithm,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:kluners,"resolve_pdf | paper.pdf | https://jtnb.centre-mersenne.org/articles/10.5802/jtnb.227/
pdf | OPTIONAL publisher_copy.pdf | https://www.numdam.org/article/JTNB_1998__10_2_243_0.pdf | https://jtnb.centre-mersenne.org/item/10.5802/jtnb.227.pdf","https://jtnb.centre-mersenne.org/item/JTNB_1998__10_2_243_0/
https://jtnb.centre-mersenne.org/articles/10.5802/jtnb.227/","An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
053_landau_1992,landau_1992,Simplification of nested radicals,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:landau92; report-2:landau; report-3:landau,pdf | OPTIONAL publisher_copy.pdf | https://epubs.siam.org/doi/pdf/10.1137/0221009,"https://fletcher.tufts.edu/research/research-publications/simplification-nested-radicals-0
https://epubs.siam.org/doi/10.1137/0221009
https://doi.org/10.1137/0221009
https://doi.org/10.1109/SFCS.1989.63496","An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
058_landaufactor,landaufactor,Factoring polynomials over algebraic number fields,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:landaufactor,,,"No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
071_newman,newman,A Classical Introduction to Galois Theory,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:newman; report-2:newman,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
073_osipov_1997,osipov_1997,On the simplification of nested real radicals,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-3:osipov97,,https://www.pleiades.online/cgi-perl/search.pl?name=procom&number=3&page=142&type=abstract&year=97,"No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
074_osipov_2021,osipov_2021,Simplification of nested real radicals revisited,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:osipov21; report-2:osipovkytmanov; report-3:osipov21,,"https://link.springer.com/chapter/10.1007/978-3-030-85165-1_17
https://doi.org/10.1007/978-3-030-85165-1_17","No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
075_osipov_2026,osipov_2026,On Ramanujan's identities with nested cubic radicals,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:osipov26; report-2:osipov2026; report-3:osipov26,,"https://journals.rcsi.science/0132-3474/article/view/446083
https://doi.org/10.7868/S3034584726020081","No direct public full-text binary was identified. The entry is preserved rather than silently omitted; the search does not establish universal unavailability.
Session outcome: no external publication or original TeX source bytes were downloaded."
076_osler,osler,Cardan polynomials and the reduction of radicals,paper_or_thesis,full_text_link_or_repository_record_located_binary_unverified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:osler; report-2:osler; report-3:osler,"resolve_pdf | paper.pdf | https://www.researchgate.net/publication/282728308_Cardan_Polynomials_and_the_Reduction_of_Radicals
pdf | OPTIONAL publisher_copy.pdf | https://www.tandfonline.com/doi/pdf/10.1080/0025570X.2001.11953029","https://www.jstor.org/stable/2691150
https://www.researchgate.net/publication/282728308_Cardan_Polynomials_and_the_Reduction_of_Radicals","An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
080_piagm,piagm,Pi and the AGM: A Study in Analytic Number Theory and Computational Complexity,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:piagm; report-2:borweinagm; report-3:piagm,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
081_polya,polya,Problems and Theorems in Analysis,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-2:polya; report-3:polya,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
090_siegel,siegel,Algebraische Abhängigkeit von Wurzeln,paper_or_thesis,full_text_link_or_repository_record_located_binary_unverified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:siegel; report-2:siegel; report-3:siegel,resolve_pdf | paper.pdf | https://bibliotekanauki.pl/articles/1396288,"https://bibliotekanauki.pl/articles/1396288
https://doi.org/10.4064/aa-21-1-59-64",Session outcome: no external publication or original TeX source bytes were downloaded.
104_zippel_1977,zippel_1977,Radical simplification made easy,paper_or_thesis,catalog_or_publisher_record_only,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:zippel77; report-2:zippel1977,resolve_pdf | paper.pdf | https://ntrs.nasa.gov/citations/19770021838,https://ntrs.nasa.gov/citations/19770021838,Session outcome: no external publication or original TeX source bytes were downloaded.
105_zippel_1985,zippel_1985,Simplification of expressions involving radicals,paper_or_thesis,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:zippel85; report-2:zippel; report-3:zippel85,pdf | OPTIONAL publisher_copy.pdf | https://www.sciencedirect.com/science/article/pii/S0747717185800146/pdf,https://doi.org/10.1016/S0747-7171(85)80014-6,"An optional publisher endpoint is provided for a normal unauthenticated request only; a paywall, denial or HTML response is a failed download, not a PDF.
Session outcome: no external publication or original TeX source bytes were downloaded."
106_zippel_thesis,zippel_thesis,Simplification of Radicals with Applications to Solving Polynomial Equations,paper_or_thesis,full_text_link_or_repository_record_located_binary_unverified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:zippel77; report-2:zippelthesis; report-3:zippel77,resolve_pdf | paper.pdf | https://dspace.mit.edu/entities/publication/8c890e97-f123-4c57-9278-9c85915cf15c,https://dspace.mit.edu/entities/publication/8c890e97-f123-4c57-9278-9c85915cf15c,Session outcome: no external publication or original TeX source bytes were downloaded.
107_zippelbook,zippelbook,Effective Polynomial Computation,book,no_direct_public_full_text_identified,no_original_TeX_source_located,not_downloaded_network_unavailable,report-1:zippelbook; report-2:zippelbook; report-3:zippelbook,,,"No direct public full-book download was identified in this search. This does not prove that no lawful free copy exists. Preview pages and borrowing-only copies were not substituted for the book.
Session outcome: no external publication or original TeX source bytes were downloaded."
