number,key,title,kind,status,included_files,source_urls,original_reference_keys,notes
20,bloemer98,Blömer (1998): A probabilistic zero-test for expressions involving roots of rational numbers,literature,Full text unresolved — no file included,,https://doi.org/10.1007/3-540-68530-8_13,"report-1:bloemer98, report-2:blomerzero, report-3:blomer98",
21,horng99,Horng–Huang (1999): Solving polynomials by radicals and roots of unity in minimum depth,literature,Full text unresolved — no file included,,https://www.jstor.org/stable/2585063 | https://www.ams.org/journals/mcom/1999-68-226/S0025-5718-99-01060-1/S0025-5718-99-01060-1.pdf | https://doi.org/10.1090/S0025-5718-99-01060-1,"report-1:horng99, report-2:horng1999",
22,cotner,Cotner (1995): Nesting Depths of Radical Expression (PhD thesis),literature,Full text unresolved — no file included,,https://math.berkeley.edu/publications/nesting-depths-radical-expression,"report-1:cotner, report-2:cotner, report-3:cotner",
23,landau94,Landau (1994): How to tangle with a nested radical,literature,Download pending — no file included,,https://web.cs.umass.edu/publication/docs/1991/UM-CS-1991-076.pdf | https://doi.org/10.1007/BF03024284,"report-1:landau94, report-2:landausurvey, report-3:landau94",
24,landau98,Landau (1998): √2 + √3: four different views,literature,Download pending — no file included,,https://privacyink.org/pdf/Sqrt2+Sqrt3.pdf | https://doi.org/10.1007/BF03025229,"report-1:landau98, report-2:landau1998, report-3:landauviews",
25,jeffrey,Jeffrey–Rich (1999): Simplifying square roots of square roots by denesting,literature,2 included files,papers/025_jeffrey/denest.pdf | papers/025_jeffrey/ocr_transcription/denest_ocr.tex,https://cybertester.com/data/denest.pdf | https://math.unm.edu/~wester/cas/book/contents.html | https://www.math.uwo.ca/faculty/jeffrey_david/publications.html,"report-1:jeffrey, report-2:jeffreyrich, report-3:jeffrey",
26,lenstra06,Lenstra (2006): Entangled Radicals,literature,Download pending — no file included,,https://www.math.leidenuniv.nl/~hwl/papers/rad.pdf,report-1:lenstra06,
27,perucca,Perucca: Linear relations among radicals,literature,Download pending — no file included,,https://arxiv.org/abs/2511.02498,"report-1:perucca, report-3:perucca",PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
28,ramanujan,Ramanujan (1927): Collected Papers,literature,Full text unresolved — no file included,,https://openlibrary.org/works/OL10578561W/Collected_papers_of_Srinivasa_Ramanujan,"report-1:ramanujan, report-2:ramanujan, report-3:ramanujan",
29,berndtIV,"Berndt (1994): Ramanujan’s Notebooks, Part IV",literature,Full text unresolved — no file included,,,"report-1:berndtIV, report-2:berndtIV, report-3:berndt",
30,berndtV,"Berndt (1998): Ramanujan’s Notebooks, Part V",literature,Full text unresolved — no file included,,,"report-1:berndtV, report-2:berndtV, report-3:berndt",
31,berndt97,Berndt–Chan–Zhang (1997): Ramanujan’s association with radicals in India,literature,Full text unresolved — no file included,,https://faculty.math.illinois.edu/~berndt/publications.html | https://doi.org/10.1080/00029890.1997.11990738,"report-1:berndt97, report-2:berndtchan1997, report-3:berndt97",
32,berndt98,Berndt–Chan–Zhang (1998): Radicals and units in Ramanujan’s work,literature,2 included files,papers/032_berndt98/aa8725.pdf | papers/032_berndt98/ocr_transcription/aa8725_ocr.tex,https://eudml.org/doc/207210 | https://doi.org/10.4064/aa-87-2-145-158,"report-1:berndt98, report-2:berndtchan1998, report-3:berndt98",
33,shanks,Shanks (1974): Incredible identities,literature,Download pending — no file included,,https://www.fq.math.ca/Scanned/12-3/shanks-a.pdf | https://www.fq.math.ca/Scanned/12-3/shanks-b.pdf | https://www.fq.math.ca/12-3.html | https://doi.org/10.1080/00150517.1974.12430734,"report-1:shanks, report-2:shanks, report-3:shanks",
34,spohn,Spohn (1976): Letter to the Editor,literature,Download pending — no file included,,https://www.fq.math.ca/Scanned/14-1/letter1.pdf,"report-1:spohn, report-2:spohn, report-3:spohn",
35,bumby,Bumby (1987): Incredible identities revisited,literature,Download pending — no file included,,https://www.fq.math.ca/Scanned/25-1/bumby.pdf | https://www.fq.math.ca/25-1.html | https://doi.org/10.1080/00150517.1987.12429728,"report-1:bumby, report-2:bumby, report-3:bumby",
36,honsbeek99,Honsbeek (1999): Denesting certain nested radicals of depth two,literature,Download pending — no file included,,https://repository.ubn.ru.nl/bitstream/handle/2066/18722/18722.pdf | https://repository.ubn.ru.nl/handle/2066/18722,"report-1:honsbeek99, report-2:honsbeek1999, report-3:honsbeek99",
37,honsbeek05,Honsbeek (2005): Radical Extensions and Galois Groups,literature,Download pending — no file included,,https://www.math.ru.nl/~bosma/students/honsbeek/M_Honsbeek_thesis.pdf,"report-1:honsbeek05, report-2:honsbeek2005, report-3:honsbeek",Keep the 2005 dissertation distinct from the 1999 Nijmegen technical report.
38,sury,Sury: Ramanujan’s Route to Roots of Roots,literature,Download pending — no file included,,https://www.isibang.ac.in/~sury/ramanujanday.pdf,"report-1:sury, report-2:sury, report-3:sury",
39,osler,Osler (2001): Cardan polynomials and the reduction of radicals,literature,Full text unresolved — no file included,,https://www.jstor.org/stable/2691150,"report-1:osler, report-2:osler, report-3:osler",
40,witula,"Wituła–Słota (2010): Cardano’s formula, square roots, Chebyshev polynomials and radicals",literature,Full text unresolved — no file included,,,"report-1:witula, report-2:witula, report-3:witula",
41,shevelev,Shevelev: On Ramanujan cubic polynomials,literature,Download pending — no file included,,https://arxiv.org/abs/0711.3420,report-1:shevelev,PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
42,barbero,Barbero–Cerruti–Murru–Abrate (2013): Identities involving zeros of Ramanujan and Shanks cubic polynomials,literature,Download pending — no file included,,https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.pdf | https://cs.uwaterloo.ca/journals/JIS/VOL16/Barbero/barbero11.tex | https://arxiv.org/abs/1401.1474,"report-1:barbero, report-2:barbero, report-3:barbero",PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX. The JIS LaTeX/PDF pair is the published 2013 article. The arXiv copy is a separately versioned copy of the same work; pair sources within their own version directories.
43,krepkii,Krepkii–Pimenov (2015): Cube root Ramanujan formulas and elementary Galois theory,literature,Full text unresolved — no file included,,https://doi.org/10.3103/S106345411504007X,"report-1:krepkii, report-2:krepkii, report-3:krepkii",
44,antipov,Antipov–Pimenov (2020): Ramanujan denesting formulas for cubic radicals,literature,Full text unresolved — no file included,,https://doi.org/10.21638/11701/spbu01.2020.201 | https://doi.org/10.1134/S1063454120020028,"report-1:antipov, report-2:antipov, report-3:antipov",
45,dokmeci,Dokmeci (2017): Theorems on field extensions and radical denesting,literature,Download pending — no file included,,https://math.mit.edu/research/highschool/primes/materials/2017/Dokmeci.pdf,"report-1:dokmeci, report-2:dokmeci, report-3:dokmeci",
46,gkioulekas,Gkioulekas (2017): On the denesting of nested square roots,literature,2 included files,papers/046_gkioulekas/gkioulekas2017.pdf | papers/046_gkioulekas/ocr_transcription/gkioulekas2017_ocr.tex,https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/024-denesting-square-roots.pdf | https://faculty.utrgv.edu/eleftherios.gkioulekas/papers/submitted/denesting-square-roots.pdf | https://scholarworks.utrgv.edu/mss_fac/243/ | https://doi.org/10.1080/0020739X.2017.1290831,"report-1:gkioulekas, report-2:gkioulekas, report-3:gkioulekas",
47,campbell,Campbell–Zujev: Variations on Ramanujan’s nested radicals,literature,Download pending — no file included,,https://arxiv.org/abs/1511.06865,"report-1:campbell, report-2:campbell, report-3:campbell",PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
48,girstmair,Girstmair (2020 / 2021): Reducing radicals in the spirit of Euclid,literature,Download pending — no file included,,https://arxiv.org/abs/2004.06039 | https://doi.org/10.1016/j.jsc.2020.07.019,"report-1:girstmair, report-2:girstmair, report-3:girstmair",PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
49,osipov21,Osipov–Kytmanov (2021): Simplification of nested real radicals revisited,literature,Full text unresolved — no file included,,https://doi.org/10.1007/978-3-030-85165-1_17,"report-1:osipov21, report-2:osipovkytmanov, report-3:osipov21",
50,cavallo,Cavallo: Denesting cubic radicals,literature,Download pending — no file included,,https://arxiv.org/abs/2403.04776,"report-1:cavallo, report-2:cavallo, report-3:cavallo",PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
51,tonien,Tonien (2025): Nested fifth root radical identities via elliptic curves,literature,Full text unresolved — no file included,,https://www.sciencedirect.com/science/article/pii/S2772827725000038 | https://doi.org/10.1016/j.jaca.2025.100032,"report-1:tonien, report-2:tonien, report-3:tonien",
52,osipov26,Osipov (2026): On Ramanujan’s identities with nested cubic radicals,literature,Full text unresolved — no file included,,https://journals.rcsi.science/0132-3474/article/view/446083 | https://journals.rcsi.science/0132-3474/article/view/446083/711034 | https://doi.org/10.7868/S3034584726020081,"report-1:osipov26, report-2:osipov2026, report-3:osipov26",A full-text link exists but redirected to subscription login; the generic Open Access legend on the landing page is not evidence that this particular article is open.
53,rit,Balaji et al. (2022): Identity testing for radical expressions,literature,Download pending — no file included,,https://arxiv.org/abs/2202.07961 | https://doi.org/10.1145/3531130.3533331,"report-1:rit, report-2:rit, report-3:rit",PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
54,gaillard,Gaillard–Jindal (2023): Order of power series and the sum of square roots problem,literature,Download pending — no file included,,https://arxiv.org/abs/2304.13605 | https://doi.org/10.1145/3597066.3597079,"report-1:gaillard, report-2:gaillard, report-3:gaillard",PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
55,allender,Allender et al. (2009): On the complexity of numerical analysis,literature,Download pending — no file included,,https://eccc.weizmann.ac.il/report/2005/037/revision/1/download | https://www.cs.rutgers.edu/~allender/slp.pdf | https://doi.org/10.1137/070697926,"report-1:allender, report-2:allender, report-3:allender",
56,zippelbook,Zippel (1993): Effective Polynomial Computation,literature,Full text unresolved — no file included,,,"report-1:zippelbook, report-2:zippelbook, report-3:zippelbook",
57,geddes,Geddes–Czapor–Labahn (1992): Algorithms for Computer Algebra,literature,Full text unresolved — no file included,,https://doi.org/10.1007/b102438,"report-1:geddes, report-2:geddes, report-3:geddes",
58,gathen,"von zur Gathen–Gerhard (2013): Modern Computer Algebra, third edition",literature,Full text unresolved — no file included,,,"report-1:gathen, report-2:vzg, report-3:gathen",
59,davenport,Davenport–Siret–Tournier: Computer Algebra,literature,Full text unresolved — no file included,,,"report-1:davenport, report-2:davenport, report-3:davenport",
60,cohen,Cohen (1993): A Course in Computational Algebraic Number Theory,literature,Full text unresolved — no file included,,,"report-1:cohen, report-2:cohen, report-3:cohen",
61,cox,"Cox (2012): Galois Theory, second edition",literature,Full text unresolved — no file included,,,"report-1:cox, report-2:cox, report-3:cox",
62,newman,Newman (2012): A Classical Introduction to Galois Theory,literature,Full text unresolved — no file included,,,"report-1:newman, report-2:newman",
63,euclid,"Euclid: Elements, Book X",literature,Full text unresolved — no file included,,,report-1:euclid,
64,piagm,Borwein–Borwein (1987): Pi and the AGM,literature,Full text unresolved — no file included,,,"report-1:piagm, report-2:borweinagm, report-3:piagm",
65,herschfeld,Herschfeld (1935): On infinite radicals,literature,Full text unresolved — no file included,,https://doi.org/10.1080/00029890.1935.11987745,"report-1:herschfeld, report-2:herschfeld, report-3:herschfeld",
66,borwein,Borwein–de Barra (1991): Nested radicals,literature,Full text unresolved — no file included,,,"report-1:borwein, report-2:borweindebarra, report-3:borweinradicals",
67,elia,Elia (2002): Observations on some algebraic equations associated with Ramanujan’s work,literature,Full text unresolved — no file included,,https://doi.org/10.1007/978-3-0348-8223-1_11,"report-1:elia, report-2:elia, report-3:elia",
68,mitra,Mitra: A generalization of Ramanujan’s famous nested radicals to the nth root,literature,Download pending — no file included,,https://arxiv.org/abs/2404.04051,"report-1:mitra, report-2:mitra, report-3:mitra",PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
69,rahal,Rahal (2017): Introduction to Nested Radicals,literature,Download pending — no file included,,https://kurser.math.su.se/pluginfile.php/16103/mod_folder/content/0/2017/2017_17_report.pdf | https://kurser.math.su.se/pluginfile.php/16103/mod_folder/content/0/2017/2017_examensarbeten_matematik.pdf?forcedownload=1,"report-1:rahal, report-2:rahal",
70,infiniteblogs,Informal infinite-radical expositions and discussions,web_resource,Download pending — no file included,,https://www.cantorsparadise.com/ramanujans-nested-radical-problem-f14c3060e495 | https://medium.com/@ArchieGSmith/calculus-of-infinite-nested-radicals-1ab3e1d26774 | https://math.stackexchange.com/questions/4049946/the-infinitely-nested-radicals-problem-and-ramanujans-wondrous-formula,report-1:infiniteblogs,
71,sympydocs,SymPy: simplify / sqrtdenest documentation,web_resource,Download pending — no file included,,https://docs.sympy.org/latest/modules/simplify/simplify.html,"report-1:sympydocs, report-2:sympydocs, report-3:sympy",
72,sympysrc,SymPy: sqrtdenest implementation and tests,web_resource,Download pending — no file included,,https://raw.githubusercontent.com/sympy/sympy/1.14.0/sympy/simplify/sqrtdenest.py | https://raw.githubusercontent.com/sympy/sympy/1.14.0/sympy/simplify/tests/test_sqrtdenest.py | https://raw.githubusercontent.com/sympy/sympy/master/sympy/simplify/sqrtdenest.py | https://raw.githubusercontent.com/sympy/sympy/master/sympy/simplify/tests/test_sqrtdenest.py,"report-1:sympysrc, report-2:sympysource, report-2:sympytests, report-3:sympysource",
73,sympyissue,SymPy: denesting issue discussions,web_resource,Download pending — no file included,,https://github.com/sympy/sympy/issues/2415 | https://github.com/sympy/sympy/issues/27082,"report-1:sympyissue, report-2:sympyissues, report-3:sympyissues",
74,raddenestsrc,Maxima raddenest: source repository,web_resource,Download pending — no file included,,https://github.com/gschintgen/raddenest | https://raw.githubusercontent.com/gschintgen/raddenest/master/raddenest.mac | https://raw.githubusercontent.com/gschintgen/raddenest/master/README.md | https://raw.githubusercontent.com/gschintgen/raddenest/master/raddenest.dem | https://raw.githubusercontent.com/gschintgen/raddenest/master/raddenest.texi | https://raw.githubusercontent.com/gschintgen/raddenest/master/rtest_raddenest.mac,"report-1:raddenestsrc, report-2:maximaraddenest, report-3:maxima",
75,maximamanual,Maxima: manual,web_resource,Download pending — no file included,,https://maxima.sourceforge.io/docs/manual/maxima_singlepage.html | https://maxima.sourceforge.io/docs/manual/,"report-1:maximamanual, report-2:maximamanual",
76,maximathread,Maxima: mailing-list discussions,web_resource,Download pending — no file included,,https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/o6lan6%24h4r%241%40blaine.gmane.org/ | https://maxima-discuss.narkive.com/rz7bUs4t/denesting | https://sourceforge.net/p/maxima/mailman/maxima-discuss/thread/slrno8nek9.2pg.robert.dodier@freekbox.fglan/,"report-1:maximathread, report-2:maximathread",
77,wolframroot,Wolfram Language: RootReduce,web_resource,Download pending — no file included,,https://reference.wolfram.com/language/ref/RootReduce.html,"report-1:wolframroot, report-2:wolframroot, report-3:wolframroot",
78,wolframradical,Wolfram Language: ToRadicals,web_resource,Download pending — no file included,,https://reference.wolfram.com/language/ref/ToRadicals.html,"report-1:wolframradical, report-2:wolframtoradicals, report-3:wolframradicals",
79,wolframrd,Wolfram Function Repository: RadicalDenest,web_resource,Download pending — no file included,,https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest | https://resources.wolframcloud.com/FunctionRepository/resources/RadicalDenest/,"report-1:wolframrd, report-2:wolframresource, report-3:wolframresource",
80,wolframcommunity,Wolfram Community: radical-denesting discussions,web_resource,Download pending — no file included,,https://community.wolfram.com/groups/-/m/t/980264 | https://community.wolfram.com/groups/-/m/t/2120629,"report-1:wolframcommunity, report-2:wolframcommunity, report-3:wolframcommunity",
81,maplerad,Maple: radnormal,web_resource,Download pending — no file included,,https://www.maplesoft.com/support/help/Maple/view.aspx?path=radnormal | https://www.maplesoft.com/support/help/Maple/view.aspx?path=simplify%2Fradical,"report-1:maplerad, report-2:mapleradnormal, report-3:maple",
82,maplesimp,Maple: radical simplification,web_resource,Download pending — no file included,,https://www.maplesoft.com/support/help/Maple/view.aspx?path=simplify%2Fradical,"report-1:maplesimp, report-2:mapleradical",
83,sageaa,SageMath: algebraic numbers / QQbar,web_resource,Download pending — no file included,,https://doc.sagemath.org/html/en/reference/number_fields/sage/rings/qqbar.html | https://doc.sagemath.org/html/en/reference/qqbar/sage/rings/qqbar.html | https://doc.sagemath.org/html/en/reference/calculus/sage/symbolic/expression.html,"report-1:sageaa, report-2:sageqqbar, report-3:sage",
84,sagesymbolic,SageMath: symbolic expressions and radical normalization,web_resource,Download pending — no file included,,https://doc.sagemath.org/html/en/reference/calculus/sage/symbolic/expression.html,"report-1:sagesymbolic, report-2:sageexpression",
85,pari,PARI/GP: general number fields,web_resource,Download pending — no file included,,https://pari.math.u-bordeaux.fr/dochtml/html-stable/General_number_fields.html | https://pari.math.u-bordeaux.fr/dochtml/html/General_number_fields.html,"report-1:pari, report-2:pari, report-3:pari",
86,magma,Magma: handbook and release documentation,web_resource,Download pending — no file included,,https://magma.maths.usyd.edu.au/magma/handbook/ | https://magma.maths.usyd.edu.au/magma/releasenotes/pdf/relv210.pdf,report-1:magma,
87,fricas,FriCAS / Axiom: RadicalSolvePackage and discussions,web_resource,Download pending — no file included,,https://fricas.github.io/api/RadicalSolvePackage.html | https://groups.google.com/g/fricas-devel/c/7Kp0vVbPXJE,"report-1:fricas, report-3:fricas",
88,honda,Honda: GaloisGroupSolver repository,web_resource,Download pending — no file included,,https://github.com/YasuakiHonda/GaloisGroupSolver,"report-1:honda, report-2:honda, report-3:honda",
89,wiki,Wikipedia: Nested radical,web_resource,Download pending — no file included,,https://en.wikipedia.org/wiki/Nested_radical#Denesting,"report-1:wiki, report-2:wikipedia, report-3:wikipedia",
90,mathworld,MathWorld: Nested Radical,web_resource,Download pending — no file included,,https://mathworld.wolfram.com/NestedRadical.html,"report-1:mathworld, report-2:mathworld, report-3:mathworld",
91,brown,BrownMath: Denesting Radicals,web_resource,Download pending — no file included,,https://brownmath.com/alge/nestrad.htm,"report-1:brown, report-2:brownmath, report-3:brownmath",
92,mo,MathOverflow: denesting discussions,web_resource,Download pending — no file included,,https://mathoverflow.net/questions/319874/relevance-of-landaus-algorithm-for-denesting-radicals | https://mathoverflow.net/questions/410388 | https://mathoverflow.net/questions/344478 | https://mathoverflow.net/questions/319874,"report-1:mo, report-2:mo319874, report-2:mo410388, report-2:mo344478, report-3:mo",
93,mse,Mathematics Stack Exchange: denesting discussions,web_resource,Download pending — no file included,,https://math.stackexchange.com/questions/4680 | https://math.stackexchange.com/questions/16331 | https://math.stackexchange.com/questions/871639,"report-1:mse, report-2:mse4680, report-2:mse16331, report-2:mse871639, report-3:mse",
94,zippel1977,Zippel (1977): Radical simplification made easy,literature,Full text unresolved — no file included,,https://ntrs.nasa.gov/citations/19770021838,report-2:zippel1977,
95,landaufactor,Landau (1985): Factoring polynomials over algebraic number fields,literature,Full text unresolved — no file included,,,report-2:landaufactor,
96,kluners,Klüners (1998): On computing subfields: a detailed description of the algorithm,literature,Download pending — no file included,,https://www.numdam.org/item/JTNB_1998__10_2_243_0.pdf | https://jtnb.centre-mersenne.org/item/JTNB_1998__10_2_243_0/,report-2:kluners,
97,berndtII,"Berndt (1989): Ramanujan’s Notebooks, Part II",literature,Full text unresolved — no file included,,,"report-2:berndtII, report-3:berndt",
98,exactgeometry,Li–Pion–Yap (2005): Recent progress in exact geometric computation,literature,Full text unresolved — no file included,,https://www.sciencedirect.com/science/article/pii/S1567832604000773,report-2:exactgeometry,
99,polya,"Pólya–Szegő: Problems and Theorems in Analysis, Volume I",literature,Full text unresolved — no file included,,,"report-2:polya, report-3:polya",
100,guin,Guin–Ruthven–Trouche (2005): The Didactical Challenge of Symbolic Calculators,literature,Full text unresolved — no file included,,,report-2:guin,
101,oeis,OEIS: A135611,web_resource,Download pending — no file included,,https://oeis.org/A135611,report-2:oeis,
102,tiwari,Tiwari: Ramanujan nested-radical exposition,web_resource,Download pending — no file included,,https://gauravtiwari.org/projects-ramanujan-nested-radical/,report-2:tiwari,
103,oslercubic,Osler: An easy look at the cubic formula,literature,Download pending — no file included,,https://math.ucr.edu/~res/math153-2019/osler-An_easy_look_at_the_cubic_formula.pdf,report-3:oslercubic,
104,osipov97,Osipov (1997): Simplification of nested real radicals,literature,Full text unresolved — no file included,,,report-3:osipov97,
105,gutin,Gutin: A constructive proof of Herschfeld’s convergence theorem,literature,Download pending — no file included,,https://arxiv.org/abs/1907.02700,report-3:gutin,PDF and original source download endpoints identified. Original source bytes were not retrieved. Some arXiv submissions may be PDF-only; the downloader checks rather than fabricates TeX.
106,flint,FLINT: qqbar documentation,web_resource,Download pending — no file included,,https://flintlib.org/doc/qqbar.html,report-3:flint,
107,calcium,FLINT / Calcium: ca documentation,web_resource,Download pending — no file included,,https://flintlib.org/doc/ca.html,report-3:calcium,
